Type_of_payment_code,Vehicle_code,id,
PTC,VC965,PC57036DA,
PTE,VC965,PC8FC83B3,
PTP,VC965,PC03AE86F,
PTC,VC965,PC4D2C5A7,
PTC,VCB43,PC4779D38,
PTE,VC965,PCF2ECD29,
PTC,VCD2F,PCBA5D8AB,
PTC,VC965,PCAFC8A56,
PTE,VC965,PCC51AD39,
PTE,VC965,PCC8C7059,
PTC,VC965,PC00AE965,
PTE,VCB43,PC5D6563A,
PTE,VC965,PC0CF9451,
PTC,VC965,PC73BE1E2,
PTC,VCB43,PC871C1FC,
PTP,VC965,PCD6E5E77,
PTC,VC965,PC7E9E8F3,
PTE,VC965,PCACD1BEE,
PTP,VCB43,PC7667A3E,
PTC,VC965,PC41EEC34,
PTP,VCB43,PC95F5F6B,
PTE,VC965,PC665A28E,
PTE,VC965,PC5EBC1E1,
PTP,VC965,PC822E359,
PTC,VCD2F,PCE937423,
PTE,VC965,PC9F22103,
PTC,VC965,PC68969FB,
PTC,VCB43,PC84D9FC1,
PTE,VC965,PC356AE8F,
PTE,VC965,PCBCF42C2,
PTC,VC965,PCCA5979C,
PTP,VC965,PCA50FB36,
PTE,VCB43,PCF91266E,
PTC,VCD2F,PC5D4DE09,
PTC,VC965,PC36C6441,
PTP,VCB43,PC18C31F6,
PTE,VC965,PC22D9C6D,
PTC,VC965,PC05B8749,
PTP,VCD2F,PC00AE965,
PTC,VC965,PC12EEFE0,
PTP,VC965,PC8DF4919,
PTC,VC965,PC99AE725,
PTP,VCD2F,PC6A1BCA4,
PTC,VC965,PC1EE951B,
PTE,VC965,PC68484C6,
PTP,VCD2F,PC7758F89,
PTC,VC965,PCC8441A8,
PTP,VC965,PC23E470D,
PTE,VCD2F,PC7DC0964,
PTP,VCB43,PCE5E04A2,
PTC,VC965,PCC5E1C04,
PTE,VCB43,PC12BE494,
PTE,VCB43,PC7758F89,
PTE,VC965,PC18C31F6,
PTC,VCB43,PCF5E7754,
PTE,VC965,PC3CCA187,
PTC,VC965,PC19CE0DB,
PTP,VC965,PC1ECBA39,
PTC,VC965,PCDD23528,
PTP,VC965,PCE1EA438,
PTC,VCD2F,PCCE12794,
PTE,VCB43,PCFE7F7FE,
PTE,VC965,PC084F676,
PTC,VCB43,PC0514825,
PTP,VC965,PC0D83A1E,
PTC,VC965,PCD8D5094,
PTP,VCD2F,PCD175301,
PTP,VC965,PC8AAEF51,
PTC,VCB43,PCD0DDD3D,
PTC,VC965,PCC6DD8D5,
PTP,VC965,PC22D9C6D,
PTE,VC965,PCC1F6F13,
PTP,VC965,PC425C6EC,
PTE,VCB43,PC6C57ED3,
PTC,VC965,PCCA36E4D,
PTC,VC965,PCCC28F87,
PTP,VC965,PC4847214,
PTP,VCB43,PC5ABB8E4,
PTP,VCB43,PC14E538A,
PTP,VC965,PC5FBE4B8,
PTE,VCB43,PCDADB8C6,
PTP,VC965,PCA2E8463,
PTP,VC965,PC7D68CD9,
PTC,VCB43,PC43973F9,
PTC,VC965,PC20129F9,
PTE,VCB43,PC851E565,
PTC,VC965,PCEECD973,
PTP,VC965,PCD83DE25,
PTC,VCB43,PCFAB001F,
PTC,VCB43,PCC6C5CFB,
PTE,VC965,PC0AE9E1B,
PTP,VCB43,PCE51C5C7,
PTC,VCD2F,PC883FCA9,
PTC,VCB43,PC3ED26A2,
PTE,VC965,PC028872C,
PTP,VC965,PC8FC83B3,
PTE,VC965,PC81776BA,
PTP,VC965,PC6A4F55F,
PTE,VCD2F,PCDEB8E32,
PTE,VC965,PC2D22627,
PTP,VCB43,PC2E099B4,
PTP,VC965,PC43919D1,
PTC,VC965,PCE937423,
PTP,VC965,PC3D16FC5,
PTP,VC965,PC797AEBF,
PTE,VC965,PC7DC0964,
PTP,VCB43,PCA52F720,
PTC,VC965,PC7D68CD9,
PTE,VCB43,PC425C6EC,
PTC,VCB43,PC2AFCB31,
PTP,VC965,PC0EF761B,
PTE,VC965,PCA32686D,
PTC,VC965,PC36675CE,
PTC,VC965,PC3B970F2,
PTE,VC965,PC924C594,
PTE,VC965,PCB4FF8FA,
PTC,VC965,PC9AF321D,
PTP,VC965,PC08EA270,
PTP,VC965,PCBE6ABE5,
PTC,VC965,PCE6675F9,
PTC,VC965,PC3338D42,
PTP,VC965,PC30FC453,
PTE,VCB43,PC52E7369,
PTE,VCB43,PCDFC1E11,
PTC,VC965,PC2BE6D87,
PTC,VCB43,PC909A324,
PTP,VCD2F,PC15EC378,
PTP,VC965,PC43A5E42,
PTC,VC965,PC7F1A5B9,
PTC,VC965,PC5D4DE09,
PTE,VCD2F,PCA00BC1C,
PTC,VC965,PC03C5C15,
PTP,VC965,PC2111CF9,
PTP,VC965,PCC4F7DCE,
PTP,VC965,PCBE7E15B,
PTP,VCB43,PC040ADB3,
PTP,VC965,PCEC57A8E,
PTP,VCB43,PCC3A370A,
PTC,VC965,PCF2ECD29,
PTC,VC965,PCB4CDDA5,
PTE,VC965,PCD987A9D,
PTC,VC965,PC0D2B95C,
PTC,VC965,PC59A33DE,
PTC,VC965,PC9E503B6,
PTP,VC965,PCD3A817A,
PTE,VC965,PC3D30AD0,
PTC,VCD2F,PC411FDC0,
PTE,VCB43,PC77793DF,
PTC,VC965,PCAD9E1F9,
PTP,VC965,PC4645718,
PTE,VCB43,PC03A5F23,
PTC,VCB43,PC39B17A9,
PTE,VC965,PC5CAF0A7,
PTC,VC965,PC028872C,
PTP,VCB43,PC1FE6483,
PTC,VCB43,PC2CA4087,
PTE,VC965,PC4D2C5A7,
PTP,VC965,PCF86214E,
PTC,VCB43,PC8473A64,
PTE,VC965,PC4A5D62F,
PTE,VC965,PC9C7C18E,
PTC,VC965,PC2C1B987,
PTE,VCB43,PCA579A65,
PTP,VC965,PC9764C98,
PTP,VCB43,PC040ADB3,
PTC,VC965,PC767BBB2,
PTE,VCB43,PCF514246,
PTE,VC965,PC0EF5BA6,
PTE,VC965,PC7AA5B2F,
PTC,VC965,PC19CE0DB,
PTP,VCB43,PC72FE04B,
PTP,VC965,PCE7F2748,
PTE,VC965,PCEB27C63,
PTP,VCB43,PCDB12C82,
PTC,VC965,PC58105BF,
PTP,VC965,PC0BD172F,
PTE,VC965,PC8DFF744,
PTP,VC965,PC818101A,
PTP,VC965,PC6713209,
PTC,VC965,PC948D5B2,
PTE,VC965,PCCAAFB48,
PTP,VCB43,PC787D664,
PTE,VC965,PC8BCEB19,
PTP,VC965,PC8453073,
PTE,VC965,PCD8C66B1,
PTP,VC965,PC44E2F09,
PTE,VCB43,PCDF9F773,
PTP,VC965,PC48D61BB,
PTE,VC965,PCC1F6F13,
PTP,VCB43,PC94168A2,
PTP,VC965,PC9FBBA67,
PTP,VCD2F,PCA4D3E9B,
PTE,VC965,PC575F591,
PTP,VC965,PC1477DC9,
PTE,VC965,PCC347465,
PTE,VCB43,PCBDD55F1,
PTP,VC965,PC035B71E,
PTE,VC965,PCA37D114,
PTE,VC965,PC394C979,
PTE,VC965,PCC0E7E2A,
PTP,VCB43,PC7667A3E,
PTE,VC965,PCCC0D001,
PTP,VC965,PC46C55B4,
PTP,VCB43,PC9787B8A,
PTP,VC965,PC1A43FB7,
PTE,VCB43,PCC321538,
PTC,VCB43,PCE7A4F34,
PTC,VCD2F,PC69F3F14,
PTE,VC965,PC1CCD955,
PTP,VC965,PC6558A56,
PTE,VC965,PC5170BF4,
PTE,VC965,PCF95BF53,
PTE,VC965,PC99BB7A3,
PTE,VC965,PC42A3AB0,
PTE,VC965,PC5B5C16D,
PTE,VCD2F,PCF31BD97,
PTE,VC965,PC17D596F,
PTP,VC965,PCAA68777,
PTE,VC965,PCAF6E464,
PTE,VCD2F,PC2E099B4,
PTP,VCB43,PCEECD973,
PTP,VC965,PC3777B8E,
PTP,VC965,PC77889B3,
PTP,VCB43,PCA6127FF,
PTP,VC965,PCB02917E,
PTP,VC965,PCC90A061,
PTP,VCD2F,PCE3427C5,
PTE,VC965,PC4C76F48,
PTC,VCB43,PC148C815,
PTC,VC965,PCF3AE602,
PTE,VCB43,PC481C9F9,
PTC,VCB43,PCA0290AD,
PTP,VC965,PC05C2F86,
PTC,VC965,PCF5E7754,
PTP,VC965,PC439FA2D,
PTP,VCD2F,PC6AA246E,
PTP,VC965,PCBE6CB59,
PTE,VC965,PCF6EECB2,
PTP,VC965,PC578F087,
PTE,VC965,PC4645718,
PTE,VCD2F,PCDED6F20,
PTC,VC965,PCE6CC50C,
PTE,VCB43,PCFA4F864,
PTE,VC965,PCC825DB2,
PTE,VCB43,PC4D8469D,
PTC,VCB43,PCE49911B,
PTC,VC965,PC9A343F9,
PTE,VC965,PC2A27502,
PTP,VC965,PC65C93B7,
PTP,VCD2F,PCF891CEB,
PTP,VC965,PC20129F9,
PTC,VC965,PC63844BC,
PTC,VCB43,PCC3E4ADA,
PTP,VCB43,PCF621E92,
PTC,VCB43,PCF4A2DA9,
PTP,VC965,PC9F22103,
PTE,VC965,PC7CCC47B,
PTC,VC965,PC79E328A,
PTE,VCB43,PC5EBC1E1,
PTE,VCD2F,PC71D433F,
PTE,VC965,PC340B4DE,
PTP,VCB43,PC1EEDA04,
PTE,VC965,PCC8C7059,
PTC,VC965,PC8C7C5D7,
PTP,VC965,PC92A6471,
PTP,VCB43,PCFDB2950,
PTP,VC965,PCEECD973,
PTP,VC965,PC5295A46,
PTE,VCB43,PC6B030C6,
PTC,VC965,PC5631507,
PTP,VCB43,PC4E15B39,
PTE,VC965,PC0A50259,
PTP,VC965,PC3B258E9,
PTE,VCB43,PCBA5D8AB,
PTC,VCB43,PC1BDA119,
PTC,VC965,PC259547F,
PTC,VC965,PC89C35AD,
PTC,VC965,PC3F8C42B,
PTE,VCB43,PC61F3A80,
PTP,VC965,PC6558A56,
PTC,VC965,PCE6675F9,
PTE,VC965,PCF0FC9B2,
PTE,VC965,PC5E524A1,
PTP,VC965,PC07289CF,
PTE,VC965,PCF9CAB22,
PTC,VCD2F,PC51FDD60,
PTC,VCB43,PC796A888,
PTP,VCD2F,PC7655FC1,
PTP,VC965,PCAC34A40,
PTP,VC965,PC0CF9451,
PTP,VC965,PC1A58039,
PTP,VC965,PC628DCED,
PTC,VC965,PC0EB640E,
PTP,VC965,PC0A326BE,
PTE,VCB43,PC7C042B7,
PTP,VC965,PC36675CE,
PTP,VC965,PCFA4F864,
PTC,VC965,PC4BFE950,
PTE,VC965,PC9042B3F,
PTE,VC965,PC85224D1,
PTP,VCB43,PC36C6441,
PTP,VC965,PCCE002E5,
PTE,VCD2F,PC1D57D7F,
PTP,VC965,PCAD89FE3,
PTC,VC965,PCEB27C63,
PTP,VC965,PCF31BD97,
PTC,VC965,PC99B9343,
PTE,VCD2F,PC7ACFF7C,
PTP,VC965,PC07289CF,
PTE,VC965,PC84D9FC1,
PTE,VCB43,PCDE5402C,
PTE,VCB43,PC76FDDEA,
PTE,VCD2F,PC07BF95F,
PTP,VC965,PCDE20E6F,
PTE,VC965,PC03C5C15,
PTP,VCB43,PCE78024A,
PTP,VCB43,PC9764C98,
PTP,VCB43,PC19F3DBB,
PTP,VC965,PCC7B407A,
PTP,VCD2F,PCB24B68E,
PTP,VC965,PC4457F74,
PTC,VC965,PCF9F4940,
PTE,VC965,PC87C8BC4,
PTP,VC965,PCD70DDDF,
PTE,VCB43,PCCA71D2C,
PTP,VC965,PC1592ACA,
PTP,VC965,PC303DD56,
PTC,VC965,PC15EC378,
PTP,VCB43,PC45CC19A,
PTE,VC965,PC6B030C6,
PTP,VCB43,PCF514246,
PTP,VCB43,PCC1ED0C5,
PTE,VC965,PCD8E3CCB,
PTP,VC965,PCB2CC82C,
PTC,VCD2F,PC9C3D708,
PTE,VCD2F,PC439FA2D,
PTE,VC965,PCF64B519,
PTC,VCB43,PC1FE6483,
PTP,VCB43,PCED7EAFE,
PTE,VC965,PCF6540C0,
PTC,VC965,PC7E22FD8,
PTC,VC965,PCDB12C82,
PTP,VC965,PC92C5115,
PTC,VC965,PC685427C,
PTP,VCD2F,PCDBBCB68,
PTP,VC965,PCA2D76A5,
PTC,VC965,PC76EDF79,
PTC,VCD2F,PC8616CD8,
PTC,VCB43,PC69C7DF3,
PTE,VCB43,PC3D58C5E,
PTP,VCB43,PC4B8A835,
PTC,VC965,PC8AAEF51,
PTC,VC965,PC5AB6779,
PTP,VC965,PCE32ED40,
PTE,VC965,PCC62D342,
PTC,VCD2F,PC419F41D,
PTC,VC965,PC578F087,
PTC,VCD2F,PCD8D5094,
PTP,VC965,PCDE5402C,
PTC,VCD2F,PC59A33DE,
PTP,VC965,PC3BD7D63,
PTC,VCD2F,PC1B1D964,
PTC,VC965,PCC8C7059,
PTP,VCD2F,PCDFCFF53,
PTE,VC965,PC9082A17,
PTP,VC965,PC303DD56,
PTE,VCD2F,PCB33ACE8,
PTP,VC965,PCE2D63A7,
PTC,VC965,PCFDB2BA6,
PTC,VC965,PC7A260F1,
PTE,VC965,PC2C2EF9E,
PTP,VCD2F,PCD175301,
PTP,VC965,PC7A3A5CF,
PTP,VC965,PCA8A9AA8,
PTC,VC965,PCB7AC8AA,
PTE,VC965,PC2CA4087,
PTC,VC965,PC0F6325D,
PTC,VC965,PCD70DDDF,
PTE,VCB43,PCA491459,
PTE,VC965,PC1D9ADA9,
PTP,VC965,PC1A4796C,
PTE,VC965,PC9FB4E82,
PTE,VC965,PCCB383F8,
PTP,VC965,PC11DCA73,
PTC,VCB43,PCBABD060,
PTP,VC965,PC2D22627,
PTC,VCD2F,PC6A65941,
PTE,VCB43,PCD8E3CCB,
PTC,VC965,PC5EC8DF5,
PTC,VCD2F,PC40FC710,
PTE,VC965,PC3E78C17,
PTP,VC965,PC0C0EE22,
PTE,VC965,PC52D063A,
PTE,VC965,PCDFCFF53,
PTC,VC965,PC8F72158,
PTE,VC965,PC83F544D,
PTE,VC965,PC89C1789,
PTC,VCB43,PC5B45CE7,
PTE,VC965,PC32FB72C,
PTE,VC965,PC6558A56,
PTC,VC965,PC92A6471,
PTC,VC965,PCB4FF8FA,
PTC,VCD2F,PC21A1833,
PTC,VC965,PC39B17A9,
PTP,VC965,PC37F171A,
PTE,VCB43,PC340B4DE,
PTP,VC965,PC8111910,
PTE,VCB43,PC4C9B108,
PTC,VC965,PCAD363FC,
PTC,VC965,PC3D16FC5,
PTE,VC965,PCD5CBB82,
PTE,VC965,PCDC5C9E2,
PTP,VC965,PC0EF5BA6,
PTC,VC965,PCF5E7754,
PTE,VC965,PCDE850D8,
PTE,VC965,PCC90A061,
PTC,VC965,PCAC64E67,
PTC,VC965,PC3A63A79,
PTC,VCB43,PCD5CBB82,
PTP,VC965,PCA37D114,
PTE,VCD2F,PC3A7AACB,
PTC,VC965,PCB2CC82C,
PTC,VCB43,PC4CD2B81,
PTC,VC965,PCEFF6088,
PTP,VC965,PC70B7987,
PTC,VCB43,PCE9CE23F,
PTC,VCB43,PC016D687,
PTC,VCD2F,PC1A43FB7,
PTE,VCB43,PCBD023A3,
PTE,VCB43,PC8DF4919,
PTE,VCD2F,PCC6A4CD8,
PTP,VC965,PCDE89544,
PTE,VC965,PC42A3AB0,
PTE,VC965,PCE2D63A7,
PTE,VC965,PCE51C5C7,
PTP,VCB43,PC85A4D4B,
PTC,VC965,PC7E22FD8,
PTC,VC965,PC7AA5B2F,
PTC,VC965,PC4BFE950,
PTP,VC965,PCE9CE23F,
PTC,VCD2F,PC05C2F86,
PTE,VC965,PCBCF42C2,
PTP,VCB43,PC96AD1EB,
PTP,VCD2F,PC5B45CE7,
PTE,VC965,PC96AD1EB,
PTE,VCB43,PCCE002E5,
PTE,VCB43,PC65AA714,
PTP,VCD2F,PC1CCD955,
PTE,VC965,PC70CA955,
PTP,VC965,PCD1EB220,
PTE,VC965,PCC6DD8D5,
PTC,VC965,PC670999C,
PTP,VCB43,PCF9CAB22,
PTC,VCB43,PCAC34A40,
PTC,VC965,PCDED6F20,
PTP,VC965,PC3C8B99E,
PTE,VC965,PC074E6A8,
PTE,VC965,PC2729737,
PTP,VCB43,PCBA83119,
PTC,VC965,PC90AAFDA,
PTC,VC965,PCE2B9376,
PTC,VC965,PC36C6441,
PTP,VC965,PCA227C6B,
PTC,VCD2F,PCA8F9E50,
PTP,VCB43,PCA0BAE0F,
PTP,VCB43,PC821BC98,
PTC,VCB43,PC670F1AC,
PTP,VCB43,PCFDB2950,
PTP,VC965,PC2CE9851,
PTC,VC965,PC7C55512,
PTP,VC965,PCDE850D8,
PTE,VCD2F,PC6D0FC31,
PTP,VC965,PC7157CF3,
PTP,VCB43,PCFFF6463,
PTP,VCB43,PC356AE8F,
PTE,VC965,PCA8A9AA8,
PTP,VCB43,PCBA5D8AB,
PTP,VC965,PC92A6471,
PTC,VCD2F,PC1893678,
PTP,VCB43,PCCAAFB48,
PTC,VCB43,PC0671DD4,
PTP,VCB43,PC7D7AE48,
PTP,VCB43,PC9042B3F,
PTE,VC965,PC119E3A6,
PTP,VCD2F,PCAE45EC0,
PTC,VC965,PC767BBB2,
PTC,VC965,PCDBBCB68,
PTE,VC965,PCF5E7754,
PTP,VCB43,PC97F19B1,
PTE,VCB43,PC88C655C,
PTC,VCB43,PC40E6113,
PTC,VC965,PCB7F1F8A,
PTE,VC965,PC99F9ABD,
PTC,VCB43,PC2AFCB31,
PTP,VC965,PCC1F6F13,
PTC,VC965,PCB24B68E,
PTC,VC965,PC8DD921E,
PTE,VCB43,PCDF73A3C,
PTC,VC965,PC40E6113,
PTC,VC965,PCAC9371E,
PTP,VCB43,PC494D54E,
PTE,VCB43,PC6A65941,
PTC,VCD2F,PC797AEBF,
PTE,VCD2F,PCE2B9376,
PTC,VCB43,PC2E2E0C0,
PTE,VCD2F,PCDD23528,
PTC,VC965,PC1585DF2,
PTP,VC965,PC684859B,
PTE,VCB43,PC8806694,
PTC,VCB43,PC2E2E0C0,
PTE,VC965,PC70CA955,
PTC,VC965,PCA00BC1C,
PTP,VC965,PCDADB8C6,
PTC,VC965,PC94168A2,
PTP,VCB43,PC1E2B07E,
PTP,VC965,PC9DD0BBD,
PTP,VCB43,PC84D9FC1,
PTE,VCB43,PCF3AE602,
PTC,VCD2F,PCFFF6463,
PTC,VC965,PC17F8052,
PTC,VC965,PCED2DB6F,
PTP,VCD2F,PCBEF8EE1,
PTC,VCD2F,PCDA37101,
PTP,VCB43,PC34C1DCB,
PTE,VC965,PC8BCEB19,
PTE,VCB43,PC6D2FAD0,
PTE,VC965,PC8A8976A,
PTE,VC965,PCCE002E5,
PTC,VC965,PC5EBB0FA,
PTP,VCB43,PC52E71B8,
PTC,VC965,PC356AE8F,
PTP,VC965,PCE29AA1A,
PTP,VC965,PCCAAFB48,
PTP,VCD2F,PCA965149,
PTP,VC965,PC65C93B7,
PTP,VCB43,PC524833E,
PTP,VC965,PC6713209,
PTP,VC965,PC9F22103,
PTC,VCB43,PC494D54E,
PTP,VCB43,PC1AB9C93,
PTC,VC965,PCB1B5BEC,
PTE,VC965,PC8616CD8,
PTP,VC965,PC18C31F6,
PTE,VCB43,PC9F22103,
PTP,VCD2F,PCB0994D1,
PTP,VCB43,PC8806694,
