id,Type_of_payment_code,Vehicle_code
PCD8D5094,PTC,VC965
PCD175301,PTP,VCD2F
PC8AAEF51,PTP,VC965
PCD0DDD3D,PTC,VCB43
PCC6DD8D5,PTC,VC965
PC22D9C6D,PTP,VC965
PCC1F6F13,PTE,VC965
PC425C6EC,PTP,VC965
PC6C57ED3,PTE,VCB43
PCCA36E4D,PTC,VC965
PCCC28F87,PTC,VC965
PC4847214,PTP,VC965
PC5ABB8E4,PTP,VCB43
PC14E538A,PTP,VCB43
PC5FBE4B8,PTP,VC965
PCDADB8C6,PTE,VCB43
PCA2E8463,PTP,VC965
PC7D68CD9,PTP,VC965
PC43973F9,PTC,VCB43
PC20129F9,PTC,VC965
PC851E565,PTE,VCB43
PCEECD973,PTC,VC965
PCD83DE25,PTP,VC965
PCFAB001F,PTC,VCB43
PCC6C5CFB,PTC,VCB43
PC0AE9E1B,PTE,VC965
PCE51C5C7,PTP,VCB43
PC883FCA9,PTC,VCD2F
PC3ED26A2,PTC,VCB43
PC028872C,PTE,VC965
PC8FC83B3,PTP,VC965
PC81776BA,PTE,VC965
PC6A4F55F,PTP,VC965
PCDEB8E32,PTE,VCD2F
PC2D22627,PTE,VC965
PC2E099B4,PTP,VCB43
PC43919D1,PTP,VC965
PCE937423,PTC,VC965
PC3D16FC5,PTP,VC965
PC797AEBF,PTP,VC965
PC7DC0964,PTE,VC965
PCA52F720,PTP,VCB43
PC7D68CD9,PTC,VC965
PC425C6EC,PTE,VCB43
PC2AFCB31,PTC,VCB43
PC0EF761B,PTP,VC965
PCA32686D,PTE,VC965
PC36675CE,PTC,VC965
PC3B970F2,PTC,VC965
PC924C594,PTE,VC965
PCB4FF8FA,PTE,VC965
PC9AF321D,PTC,VC965
PC08EA270,PTP,VC965
PCBE6ABE5,PTP,VC965
PCE6675F9,PTC,VC965
PC3338D42,PTC,VC965
PC30FC453,PTP,VC965
PC52E7369,PTE,VCB43
PCDFC1E11,PTE,VCB43
PC2BE6D87,PTC,VC965
PC909A324,PTC,VCB43
PC15EC378,PTP,VCD2F
PC43A5E42,PTP,VC965
PC7F1A5B9,PTC,VC965
PC5D4DE09,PTC,VC965
PCA00BC1C,PTE,VCD2F
PC03C5C15,PTC,VC965
PC2111CF9,PTP,VC965
PCC4F7DCE,PTP,VC965
PCBE7E15B,PTP,VC965
PC040ADB3,PTP,VCB43
PCEC57A8E,PTP,VC965
PCC3A370A,PTP,VCB43
PCF2ECD29,PTC,VC965
PCB4CDDA5,PTC,VC965
PCD987A9D,PTE,VC965
PC0D2B95C,PTC,VC965
PC59A33DE,PTC,VC965
PC9E503B6,PTC,VC965
PCD3A817A,PTP,VC965
PC3D30AD0,PTE,VC965
PC411FDC0,PTC,VCD2F
PC77793DF,PTE,VCB43
PCAD9E1F9,PTC,VC965
PC4645718,PTP,VC965
PC03A5F23,PTE,VCB43
PC39B17A9,PTC,VCB43
PC5CAF0A7,PTE,VC965
PC028872C,PTC,VC965
PC1FE6483,PTP,VCB43
PC2CA4087,PTC,VCB43
PC4D2C5A7,PTE,VC965
PCF86214E,PTP,VC965
PC8473A64,PTC,VCB43
PC4A5D62F,PTE,VC965
PC9C7C18E,PTE,VC965
PC2C1B987,PTC,VC965
PCA579A65,PTE,VCB43
PC9764C98,PTP,VC965
PC040ADB3,PTP,VCB43
PC767BBB2,PTC,VC965
PCF514246,PTE,VCB43
PC0EF5BA6,PTE,VC965
PC7AA5B2F,PTE,VC965
PC19CE0DB,PTC,VC965
PC72FE04B,PTP,VCB43
PCE7F2748,PTP,VC965
PCEB27C63,PTE,VC965
PCDB12C82,PTP,VCB43
PC58105BF,PTC,VC965
PC0BD172F,PTP,VC965
PC8DFF744,PTE,VC965
PC818101A,PTP,VC965
PC6713209,PTP,VC965
PC948D5B2,PTC,VC965
PCCAAFB48,PTE,VC965
PC787D664,PTP,VCB43
PC8BCEB19,PTE,VC965
PC8453073,PTP,VC965
PCD8C66B1,PTE,VC965
PC44E2F09,PTP,VC965
PCDF9F773,PTE,VCB43
PC48D61BB,PTP,VC965
PCC1F6F13,PTE,VC965
PC94168A2,PTP,VCB43
PC9FBBA67,PTP,VC965
PCA4D3E9B,PTP,VCD2F
PC575F591,PTE,VC965
PC1477DC9,PTP,VC965
PCC347465,PTE,VC965
PCBDD55F1,PTE,VCB43
PC035B71E,PTP,VC965
PCA37D114,PTE,VC965
PC394C979,PTE,VC965
PCC0E7E2A,PTE,VC965
PC7667A3E,PTP,VCB43
PCCC0D001,PTE,VC965
PC46C55B4,PTP,VC965
PC9787B8A,PTP,VCB43
PC1A43FB7,PTP,VC965
PCC321538,PTE,VCB43
PCE7A4F34,PTC,VCB43
PC69F3F14,PTC,VCD2F
PC1CCD955,PTE,VC965
PC6558A56,PTP,VC965
PC5170BF4,PTE,VC965
PCF95BF53,PTE,VC965
PC99BB7A3,PTE,VC965
PC42A3AB0,PTE,VC965
PC5B5C16D,PTE,VC965
PCF31BD97,PTE,VCD2F
PC17D596F,PTE,VC965
PCAA68777,PTP,VC965
PCAF6E464,PTE,VC965
PC2E099B4,PTE,VCD2F
PCEECD973,PTP,VCB43
PC3777B8E,PTP,VC965
PC77889B3,PTP,VC965
PCA6127FF,PTP,VCB43
PCB02917E,PTP,VC965
PCC90A061,PTP,VC965
PCE3427C5,PTP,VCD2F
PC4C76F48,PTE,VC965
PC148C815,PTC,VCB43
PCF3AE602,PTC,VC965
PC481C9F9,PTE,VCB43
PCA0290AD,PTC,VCB43
PC05C2F86,PTP,VC965
PCF5E7754,PTC,VC965
PC439FA2D,PTP,VC965
PC6AA246E,PTP,VCD2F
PCBE6CB59,PTP,VC965
PCF6EECB2,PTE,VC965
PC578F087,PTP,VC965
PC4645718,PTE,VC965
PCDED6F20,PTE,VCD2F
PCE6CC50C,PTC,VC965
PCFA4F864,PTE,VCB43
PCC825DB2,PTE,VC965
PC4D8469D,PTE,VCB43
PCE49911B,PTC,VCB43
PC9A343F9,PTC,VC965
PC2A27502,PTE,VC965
PC65C93B7,PTP,VC965
PCF891CEB,PTP,VCD2F
PC20129F9,PTP,VC965
PC63844BC,PTC,VC965
PCC3E4ADA,PTC,VCB43
PCF621E92,PTP,VCB43
PCF4A2DA9,PTC,VCB43
PC9F22103,PTP,VC965
PC7CCC47B,PTE,VC965
PC79E328A,PTC,VC965
PC5EBC1E1,PTE,VCB43
PC71D433F,PTE,VCD2F
PC340B4DE,PTE,VC965
PC1EEDA04,PTP,VCB43
PCC8C7059,PTE,VC965
PC8C7C5D7,PTC,VC965
PC92A6471,PTP,VC965
PCFDB2950,PTP,VCB43
PCEECD973,PTP,VC965
PC5295A46,PTP,VC965
PC6B030C6,PTE,VCB43
PC5631507,PTC,VC965
PC4E15B39,PTP,VCB43
PC0A50259,PTE,VC965
PC3B258E9,PTP,VC965
PCBA5D8AB,PTE,VCB43
PC1BDA119,PTC,VCB43
PC259547F,PTC,VC965
PC89C35AD,PTC,VC965
PC3F8C42B,PTC,VC965
PC61F3A80,PTE,VCB43
PC6558A56,PTP,VC965
PCE6675F9,PTC,VC965
PCF0FC9B2,PTE,VC965
PC5E524A1,PTE,VC965
PC07289CF,PTP,VC965
PCF9CAB22,PTE,VC965
PC51FDD60,PTC,VCD2F
PC796A888,PTC,VCB43
PC7655FC1,PTP,VCD2F
PCAC34A40,PTP,VC965
PC0CF9451,PTP,VC965
PC1A58039,PTP,VC965
PC628DCED,PTP,VC965
PC0EB640E,PTC,VC965
PC0A326BE,PTP,VC965
PC7C042B7,PTE,VCB43
PC36675CE,PTP,VC965
PCFA4F864,PTP,VC965
PC4BFE950,PTC,VC965
PC9042B3F,PTE,VC965
PC85224D1,PTE,VC965
PC36C6441,PTP,VCB43
PCCE002E5,PTP,VC965
PC1D57D7F,PTE,VCD2F
PCAD89FE3,PTP,VC965
PCEB27C63,PTC,VC965
PCF31BD97,PTP,VC965
PC99B9343,PTC,VC965
PC7ACFF7C,PTE,VCD2F
PC07289CF,PTP,VC965
PC84D9FC1,PTE,VC965
PCDE5402C,PTE,VCB43
PC76FDDEA,PTE,VCB43
PC07BF95F,PTE,VCD2F
PCDE20E6F,PTP,VC965
PC03C5C15,PTE,VC965
PCE78024A,PTP,VCB43
PC9764C98,PTP,VCB43
PC19F3DBB,PTP,VCB43
PCC7B407A,PTP,VC965
PCB24B68E,PTP,VCD2F
PC4457F74,PTP,VC965
PCF9F4940,PTC,VC965
PC87C8BC4,PTE,VC965
PCD70DDDF,PTP,VC965
PCCA71D2C,PTE,VCB43
PC1592ACA,PTP,VC965
PC303DD56,PTP,VC965
PC15EC378,PTC,VC965
PC45CC19A,PTP,VCB43
PC6B030C6,PTE,VC965
PCF514246,PTP,VCB43
PCC1ED0C5,PTP,VCB43
PCD8E3CCB,PTE,VC965
PCB2CC82C,PTP,VC965
PC9C3D708,PTC,VCD2F
PC439FA2D,PTE,VCD2F
PCF64B519,PTE,VC965
PC1FE6483,PTC,VCB43
PCED7EAFE,PTP,VCB43
PCF6540C0,PTE,VC965
PC7E22FD8,PTC,VC965
PCDB12C82,PTC,VC965
PC92C5115,PTP,VC965
PC685427C,PTC,VC965
PCDBBCB68,PTP,VCD2F
PCA2D76A5,PTP,VC965
PC76EDF79,PTC,VC965
PC8616CD8,PTC,VCD2F
PC69C7DF3,PTC,VCB43
PC3D58C5E,PTE,VCB43
PC4B8A835,PTP,VCB43
PC8AAEF51,PTC,VC965
PC5AB6779,PTC,VC965
PCE32ED40,PTP,VC965
PCC62D342,PTE,VC965
PC419F41D,PTC,VCD2F
PC578F087,PTC,VC965
PCD8D5094,PTC,VCD2F
PCDE5402C,PTP,VC965
PC59A33DE,PTC,VCD2F
PC3BD7D63,PTP,VC965
PC1B1D964,PTC,VCD2F
PCC8C7059,PTC,VC965
PCDFCFF53,PTP,VCD2F
PC9082A17,PTE,VC965
PC303DD56,PTP,VC965
PCB33ACE8,PTE,VCD2F
PCE2D63A7,PTP,VC965
PCFDB2BA6,PTC,VC965
PC7A260F1,PTC,VC965
PC2C2EF9E,PTE,VC965
PCD175301,PTP,VCD2F
PC7A3A5CF,PTP,VC965
PCA8A9AA8,PTP,VC965
PCB7AC8AA,PTC,VC965
PC2CA4087,PTE,VC965
PC0F6325D,PTC,VC965
PCD70DDDF,PTC,VC965
PCA491459,PTE,VCB43
PC1D9ADA9,PTE,VC965
PC1A4796C,PTP,VC965
PC9FB4E82,PTE,VC965
PCCB383F8,PTE,VC965
PC11DCA73,PTP,VC965
PCBABD060,PTC,VCB43
PC2D22627,PTP,VC965
PC6A65941,PTC,VCD2F
PCD8E3CCB,PTE,VCB43
PC5EC8DF5,PTC,VC965
PC40FC710,PTC,VCD2F
PC3E78C17,PTE,VC965
PC0C0EE22,PTP,VC965
PC52D063A,PTE,VC965
PCDFCFF53,PTE,VC965
PC8F72158,PTC,VC965
PC83F544D,PTE,VC965
PC89C1789,PTE,VC965
PC5B45CE7,PTC,VCB43
PC32FB72C,PTE,VC965
PC6558A56,PTE,VC965
PC92A6471,PTC,VC965
PCB4FF8FA,PTC,VC965
PC21A1833,PTC,VCD2F
PC39B17A9,PTC,VC965
PC37F171A,PTP,VC965
PC340B4DE,PTE,VCB43
PC8111910,PTP,VC965
PC4C9B108,PTE,VCB43
PCAD363FC,PTC,VC965
PC3D16FC5,PTC,VC965
PCD5CBB82,PTE,VC965
PCDC5C9E2,PTE,VC965
PC0EF5BA6,PTP,VC965
PCF5E7754,PTC,VC965
PCDE850D8,PTE,VC965
PCC90A061,PTE,VC965
PCAC64E67,PTC,VC965
PC3A63A79,PTC,VC965
PCD5CBB82,PTC,VCB43
PCA37D114,PTP,VC965
PC3A7AACB,PTE,VCD2F
PCB2CC82C,PTC,VC965
PC4CD2B81,PTC,VCB43
PCEFF6088,PTC,VC965
PC70B7987,PTP,VC965
PCE9CE23F,PTC,VCB43
PC016D687,PTC,VCB43
PC1A43FB7,PTC,VCD2F
PCBD023A3,PTE,VCB43
PC8DF4919,PTE,VCB43
PCC6A4CD8,PTE,VCD2F
PCDE89544,PTP,VC965
PC42A3AB0,PTE,VC965
PCE2D63A7,PTE,VC965
PCE51C5C7,PTE,VC965
PC85A4D4B,PTP,VCB43
PC7E22FD8,PTC,VC965
PC7AA5B2F,PTC,VC965
PC4BFE950,PTC,VC965
PCE9CE23F,PTP,VC965
PC05C2F86,PTC,VCD2F
PCBCF42C2,PTE,VC965
PC96AD1EB,PTP,VCB43
PC5B45CE7,PTP,VCD2F
PC96AD1EB,PTE,VC965
PCCE002E5,PTE,VCB43
PC65AA714,PTE,VCB43
PC1CCD955,PTP,VCD2F
PC70CA955,PTE,VC965
PCD1EB220,PTP,VC965
PCC6DD8D5,PTE,VC965
PC670999C,PTC,VC965
PCF9CAB22,PTP,VCB43
PCAC34A40,PTC,VCB43
PCDED6F20,PTC,VC965
PC3C8B99E,PTP,VC965
PC074E6A8,PTE,VC965
PC2729737,PTE,VC965
PCBA83119,PTP,VCB43
PC90AAFDA,PTC,VC965
PCE2B9376,PTC,VC965
PC36C6441,PTC,VC965
PCA227C6B,PTP,VC965
PCA8F9E50,PTC,VCD2F
PCA0BAE0F,PTP,VCB43
PC821BC98,PTP,VCB43
PC670F1AC,PTC,VCB43
PCFDB2950,PTP,VCB43
PC2CE9851,PTP,VC965
PC7C55512,PTC,VC965
PCDE850D8,PTP,VC965
PC6D0FC31,PTE,VCD2F
PC7157CF3,PTP,VC965
PCFFF6463,PTP,VCB43
PC356AE8F,PTP,VCB43
PCA8A9AA8,PTE,VC965
PCBA5D8AB,PTP,VCB43
PC92A6471,PTP,VC965
PC1893678,PTC,VCD2F
PCCAAFB48,PTP,VCB43
PC0671DD4,PTC,VCB43
PC7D7AE48,PTP,VCB43
PC9042B3F,PTP,VCB43
PC119E3A6,PTE,VC965
PCAE45EC0,PTP,VCD2F
PC767BBB2,PTC,VC965
PCDBBCB68,PTC,VC965
PCF5E7754,PTE,VC965
PC97F19B1,PTP,VCB43
PC88C655C,PTE,VCB43
PC40E6113,PTC,VCB43
PCB7F1F8A,PTC,VC965
PC99F9ABD,PTE,VC965
PC2AFCB31,PTC,VCB43
PCC1F6F13,PTP,VC965
PCB24B68E,PTC,VC965
PC8DD921E,PTC,VC965
PCDF73A3C,PTE,VCB43
PC40E6113,PTC,VC965
PCAC9371E,PTC,VC965
PC494D54E,PTP,VCB43
PC6A65941,PTE,VCB43
PC797AEBF,PTC,VCD2F
PCE2B9376,PTE,VCD2F
PC2E2E0C0,PTC,VCB43
PCDD23528,PTE,VCD2F
PC1585DF2,PTC,VC965
PC684859B,PTP,VC965
PC8806694,PTE,VCB43
PC2E2E0C0,PTC,VCB43
PC70CA955,PTE,VC965
PCA00BC1C,PTC,VC965
PCDADB8C6,PTP,VC965
PC94168A2,PTC,VC965
PC1E2B07E,PTP,VCB43
PC9DD0BBD,PTP,VC965
PC84D9FC1,PTP,VCB43
PCF3AE602,PTE,VCB43
PCFFF6463,PTC,VCD2F
PC17F8052,PTC,VC965
PCED2DB6F,PTC,VC965
PCBEF8EE1,PTP,VCD2F
PCDA37101,PTC,VCD2F
PC34C1DCB,PTP,VCB43
PC8BCEB19,PTE,VC965
PC6D2FAD0,PTE,VCB43
PC8A8976A,PTE,VC965
PCCE002E5,PTE,VC965
PC5EBB0FA,PTC,VC965
PC52E71B8,PTP,VCB43
PC356AE8F,PTC,VC965
PCE29AA1A,PTP,VC965
PCCAAFB48,PTP,VC965
PCA965149,PTP,VCD2F
PC65C93B7,PTP,VC965
PC524833E,PTP,VCB43
PC6713209,PTP,VC965
PC9F22103,PTP,VC965
PC494D54E,PTC,VCB43
PC1AB9C93,PTP,VCB43
PCB1B5BEC,PTC,VC965
PC8616CD8,PTE,VC965
PC18C31F6,PTP,VC965
PC9F22103,PTE,VCB43
PCB0994D1,PTP,VCD2F
PC8806694,PTP,VCB43
PCE78024A,PTC,VCD2F
PC10C50DC,PTP,VC965
PC70B7987,PTC,VC965
PC4A7B00C,PTC,VC965
PC0514825,PTC,VC965
PC4486317,PTC,VC965
PCFEAE55E,PTP,VC965
PCBB65EF4,PTC,VCB43
PC0B32B5B,PTP,VC965
PC3547FAD,PTP,VC965
PCD6DBA1D,PTC,VCB43
PC64281F6,PTC,VC965
PCF9F4940,PTE,VCB43
PC66E7418,PTP,VC965
PC7E9E8F3,PTE,VC965
PC7F1A5B9,PTE,VCB43
PCD987A9D,PTP,VC965
PCDED6F20,PTE,VC965
PCB4CDDA5,PTE,VC965
PCF2ECD29,PTP,VCB43
PC64281F6,PTP,VC965
PCFE8B604,PTC,VCD2F
PCAD79413,PTE,VCB43
PC65C93B7,PTC,VCB43
PC544AE70,PTP,VC965
PC34C1DCB,PTC,VC965
PC87D90FE,PTE,VC965
PC2C1B987,PTP,VC965
PCF621E92,PTE,VC965
PCD70DDDF,PTC,VC965
PC74F5EBA,PTP,VC965
PC1A4796C,PTP,VC965
PCD8346A6,PTC,VCB43
PCA52F720,PTE,VC965
PC76EDF79,PTC,VC965
PC64281F6,PTE,VC965
PCF91266E,PTC,VCD2F
PCE4A44BE,PTC,VC965
PCEDD7E85,PTP,VC965
PCF3AE602,PTP,VCB43
PC85A4D4B,PTC,VC965
PC3B514E2,PTC,VC965
PC7157CF3,PTC,VCB43
PC3A6DBC9,PTE,VCB43
PC1D9ADA9,PTP,VCD2F
PC95F5F6B,PTP,VC965
PC5170BF4,PTE,VC965
PCF0FC9B2,PTC,VCB43
